Wall time,Step,Value
1745107993.860306,12999,1.0
1745107997.3995104,13049,0.998046875
1745108000.9651513,13099,1.0
1745108004.527969,13149,1.0
1745108008.0501816,13199,0.99609375
1745108011.5845752,13249,0.998046875
1745108024.1527252,13299,1.0
1745108027.7115023,13349,1.0
1745108031.260243,13399,0.998046875
1745108034.8217514,13449,1.0
1745108038.3883586,13499,1.0
1745108041.9165926,13549,1.0
1745108045.424336,13599,0.998046875
1745108048.936406,13649,0.99609375
1745108063.8201017,13699,0.998046875
1745108067.3926036,13749,0.99609375
1745108070.9576738,13799,0.998046875
1745108074.5162046,13849,1.0
1745108078.082845,13899,1.0
1745108081.6298528,13949,1.0
1745108085.1531305,13999,1.0
1745108097.0809462,14049,1.0
1745108100.64953,14099,1.0
1745108104.1878443,14149,1.0
1745108107.735799,14199,0.994140625
1745108111.280616,14249,1.0
1745108114.8377273,14299,0.99609375
1745108118.3728006,14349,1.0
1745108121.8846636,14399,1.0
1745108133.9576535,14449,1.0
1745108137.5019183,14499,1.0
1745108141.0553076,14549,1.0
1745108144.5992255,14599,1.0
1745108148.1573396,14649,0.998046875
1745108151.715794,14699,1.0
1745108155.2394016,14749,1.0
1745108158.774208,14799,0.998046875
1745108171.490479,14849,0.99609375
1745108175.0655537,14899,0.998046875
1745108178.6121445,14949,0.998046875
1745108182.1748517,14999,0.994140625
1745108185.7266705,15049,1.0
1745108189.2726543,15099,1.0
1745108192.7975273,15149,1.0
1745108196.3099627,15199,1.0
1745108208.7562716,15249,1.0
1745108212.338138,15299,1.0
1745108215.8879905,15349,1.0
1745108219.4285138,15399,1.0
1745108222.9842033,15449,1.0
1745108226.5208225,15499,1.0
1745108230.050597,15549,1.0
1745108233.6209083,15599,0.998046875
1745108248.2515347,15649,1.0
1745108251.830502,15699,1.0
1745108255.3983078,15749,1.0
1745108258.9579606,15799,1.0
1745108262.5167263,15849,1.0
1745108266.0571682,15899,1.0
1745108269.568358,15949,1.0
1745108282.5835245,15999,1.0
1745108286.141695,16049,1.0
1745108289.6965756,16099,1.0
1745108293.2495773,16149,1.0
1745108296.8113863,16199,0.998046875
1745108300.3782291,16249,1.0
1745108303.8966804,16299,0.998046875
1745108307.420226,16349,0.998046875
1745108319.4162784,16399,1.0
1745108322.9756804,16449,1.0
1745108326.5105674,16499,1.0
1745108330.076091,16549,1.0
1745108333.628431,16599,1.0
1745108337.167615,16649,1.0
1745108340.6810899,16699,1.0
1745108344.1893122,16749,1.0
1745108356.485711,16799,1.0
1745108360.0401409,16849,1.0
1745108363.597579,16899,1.0
1745108367.1657076,16949,1.0
1745108370.7090793,16999,0.998046875
1745108374.2637825,17049,0.998046875
1745108377.772734,17099,0.998046875
1745108381.2854738,17149,1.0
1745108393.9611633,17199,1.0
1745108397.5142403,17249,1.0
1745108401.0743048,17299,0.998046875
1745108404.6419969,17349,0.998046875
1745108408.21365,17399,1.0
1745108411.780326,17449,1.0
1745108415.3128242,17499,1.0
1745108418.8404243,17549,1.0
1745108433.9777017,17599,1.0
1745108437.542843,17649,0.998046875
1745108441.097216,17699,0.998046875
1745108444.655699,17749,1.0
1745108448.1948314,17799,1.0
1745108451.735582,17849,0.998046875
1745108455.235598,17899,1.0
1745108466.3766232,17949,0.998046875
1745108471.0022624,17999,1.0
1745108474.536018,18049,1.0
1745108478.0852437,18099,1.0
1745108481.6479857,18149,1.0
1745108485.2060928,18199,1.0
1745108488.7315116,18249,1.0
1745108492.2421207,18299,1.0
1745108504.601844,18349,1.0
1745108508.1490898,18399,0.998046875
1745108511.6966264,18449,1.0
1745108515.2670069,18499,1.0
1745108518.860223,18549,1.0
1745108522.4299445,18599,1.0
1745108525.945553,18649,0.994140625
1745108529.4544532,18699,1.0
1745108541.6275687,18749,1.0
1745108545.1888292,18799,1.0
1745108548.7271597,18849,1.0
1745108552.2725067,18899,1.0
1745108555.816203,18949,1.0
1745108559.357403,18999,1.0
1745108562.8699312,19049,0.998046875
1745108566.379356,19099,1.0
1745108578.3298955,19149,1.0
1745108581.8771613,19199,1.0
1745108585.414717,19249,1.0
1745108588.9499264,19299,1.0
1745108592.4980426,19349,1.0
1745108596.0376601,19399,1.0
1745108599.5536473,19449,1.0
1745108603.0710106,19499,1.0
1745108617.056327,19549,1.0
1745108620.60653,19599,1.0
1745108624.1725714,19649,1.0
1745108627.7343187,19699,1.0
1745108631.294448,19749,1.0
1745108634.8206947,19799,1.0
1745108638.334429,19849,1.0
1745108650.3059468,19899,1.0
1745108653.8377004,19949,1.0
1745108657.369553,19999,1.0
1745108660.910062,20049,1.0
1745108664.459259,20099,0.998046875
1745108668.0085802,20149,1.0
1745108671.5364342,20199,1.0
1745108675.0678353,20249,1.0
1745108688.4447963,20299,0.998046875
1745108692.0127244,20349,1.0
1745108695.5716946,20399,1.0
1745108699.14582,20449,1.0
1745108702.6980238,20499,1.0
1745108706.251159,20549,1.0
1745108709.7685568,20599,1.0
1745108713.303553,20649,1.0
1745108725.4493022,20699,1.0
1745108729.02483,20749,1.0
1745108732.5569344,20799,1.0
1745108736.1029048,20849,1.0
1745108739.649396,20899,1.0
1745108743.1828644,20949,0.998046875
1745108746.692799,20999,1.0
1745108750.2021625,21049,1.0
1745108762.1880443,21099,1.0
1745108765.737274,21149,1.0
1745108769.294402,21199,0.998046875
1745108772.8594358,21249,1.0
1745108776.3995516,21299,1.0
1745108779.9414244,21349,0.998046875
1745108783.4508255,21399,1.0
1745108786.9606447,21449,1.0
1745108801.7412155,21499,1.0
1745108805.3049784,21549,1.0
1745108808.8474462,21599,0.998046875
1745108812.3966072,21649,1.0
1745108815.9569879,21699,1.0
1745108819.4917612,21749,1.0
1745108823.0015106,21799,1.0
1745108835.1061392,21849,1.0
1745108838.6428487,21899,1.0
1745108842.2015717,21949,1.0
1745108845.7435212,21999,1.0
1745108849.3155665,22049,1.0
1745108852.8892188,22099,1.0
1745108856.415964,22149,1.0
1745108859.9481602,22199,1.0
1745108872.257924,22249,1.0
1745108875.8242285,22299,1.0
1745108879.3760219,22349,1.0
1745108882.917747,22399,1.0
1745108886.4525588,22449,1.0
1745108890.0124326,22499,1.0
1745108893.519257,22549,1.0
1745108897.031491,22599,1.0
1745108909.7321472,22649,1.0
1745108913.2794433,22699,1.0
1745108916.8414514,22749,1.0
1745108920.3842547,22799,1.0
1745108923.9245086,22849,0.99609375
1745108927.455471,22899,1.0
1745108930.9746327,22949,1.0
1745108934.5011237,22999,1.0
1745108947.0854878,23049,1.0
1745108950.6368315,23099,1.0
1745108954.186214,23149,1.0
1745108957.7236881,23199,1.0
1745108961.2681866,23249,1.0
1745108964.8189511,23299,1.0
1745108968.3285217,23349,1.0
1745108971.8435526,23399,1.0
1745108986.2513518,23449,1.0
1745108989.8026454,23499,1.0
1745108993.3581562,23549,1.0
1745108996.9208918,23599,1.0
1745109000.4678264,23649,1.0
1745109003.9945657,23699,1.0
1745109007.5191207,23749,1.0
1745109021.186051,23799,1.0
1745109024.7335286,23849,1.0
1745109028.293025,23899,1.0
1745109031.8775804,23949,1.0
1745109035.4325368,23999,1.0
1745109038.9840312,24049,1.0
1745109042.5038614,24099,1.0
1745109046.0117042,24149,1.0
1745109058.915262,24199,1.0
1745109062.464345,24249,1.0
1745109066.0231106,24299,1.0
1745109069.5864391,24349,0.998046875
1745109073.1319091,24399,1.0
1745109076.6784585,24449,0.99609375
1745109080.1942506,24499,1.0
1745109083.715968,24549,1.0
1745109096.2731447,24599,1.0
1745109099.7999954,24649,1.0
1745109103.3367646,24699,1.0
1745109106.8854022,24749,1.0
1745109110.436398,24799,0.99609375
1745109113.9761996,24849,1.0
1745109117.4914255,24899,1.0
1745109121.0196962,24949,1.0
1745109133.1861646,24999,1.0
1745109136.7422488,25049,1.0
1745109140.2808843,25099,1.0
1745109143.8399928,25149,1.0
1745109147.394686,25199,1.0
1745109150.9345913,25249,1.0
1745109154.459491,25299,1.0
1745109157.9785917,25349,1.0
1745109173.4429648,25399,1.0
1745109176.9901257,25449,1.0
1745109180.531975,25499,1.0
1745109184.0662038,25549,0.9921875
1745109187.6179953,25599,1.0
1745109191.1625626,25649,1.0
1745109194.6933,25699,1.0
1745109207.5584562,25749,1.0
1745109211.117241,25799,1.0
1745109214.6733994,25849,1.0
1745109218.2318444,25899,0.99609375
1745109221.7753797,25949,1.0
1745109225.3397348,25999,1.0
1745109228.8696747,26049,1.0
1745109232.38383,26099,0.99609375
1745109245.7599275,26149,1.0
1745109249.315194,26199,0.998046875
1745109252.8742368,26249,1.0
1745109256.4414346,26299,1.0
1745109259.9701521,26349,1.0
1745109263.5319483,26399,1.0
1745109267.0437136,26449,1.0
